,,PRIMARY,,,SECTORS,,,,,,,,,,,,,,INDICATORS,,,,,,,,ADMINISTRATIVE,,REFERENCE,,,,
113,Moldova,Yes,Planned,3,Yes,No data,No data,No,Yes,Yes,No data,Yes,No data,No data,Yes,No data,No data,Yes,No data,No data,No data,No data,No data,No data,No data,No data,4,National Commission on Climate Change,2018,2018 NC4,,,
114,Monaco,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Mongolia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Montenegro,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Morocco,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Mozambique,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,No data,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,1,Unidade das Mudanças Climátic,2014,2014 M&E,,,
119,Myanmar,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Namibia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Nauru,Yes,Planned,No data,,,,,,,,,,,,,,,,,,,,,,,1,Multiple,2015,2015 CAF,,,
122,Nepal,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,The Netherlands,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,New Zealand,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Nicaragua,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Niger,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Nigeria,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,North Korea,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,North Macedonia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Norway,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Oman,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Pakistan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Palau,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,State of Palestine,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Panama,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,No data,No data,No data,Yes,No data,Yes,No data,Yes,No data,No data,Yes,No data,No data,Yes,No data,Ministerio de Ambiente,2020,2020 M&E,,,
136,Papua New Guinea,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Paraguay,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Peru,Yes,Planned,3,Yes,Yes,No data,No data,No data,Yes,Yes,Yes,No data,No data,No data,No data,No data,Yes,No data,No data,No data,No data,No data,No data,No data,No data,5,Ministerio del Ambiente ,2021,2021 NAP,,,
139,The Philippines,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,1,Climate Change Commission,2019,2019 M&E,2017 M&E,Backup link,Yes
140,Poland,Yes,Implemented,2,Yes,No data,Yes,No data,No data,Yes,No data,No data,No data,No data,Yes,Yes,No data,Yes,No data,No data,Yes,No data,No data,No data,Yes,Yes,1,Ministry of the Environment,2019,2019 Climate Policy,2013 NAS,,Yes
141,Portugal,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Portuguese Environment Agenncy,2021,2021 EC,2017 NC7,,
142,Qatar,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Romania,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Russia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Rwanda,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Saint Kitts and Nevis,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Saint Lucia,Yes,Implemented,"1,3",Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,No data,Yes,Yes,1,Department of Sustainable Development; National Climate Change Committee,2018,2018 NAP M&E,2018 NAP,,Yes
148,Saint Vincent and the Grenadines,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Samoa,Yes,Planned,3,,,,,,,,,,,,,,,,,,,,,,,1,Ministry of Natural Resources and Environment,2020,2020 CC Policy,Backup link,,
150,San Marino,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Sao Tome & Principe,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Saudi Arabia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Senegal,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Serbia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Seychelles,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Sierra Leone,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Singapore,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Slovakia,Yes,Planned,No data,,,,,,,,,,,,,,,,,,,,,,,No data,Ministry of the Environment,2018,2018 NAS,Backup link,,
159,Slovenia,Yes,Planned,1,Yes,No data,No data,No data,Yes,No data,No data,No data,Yes,Yes,No data,Yes,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,Multiple,2021,2021 CC Strategy,Backup link,,Yes
160,Solomon Islands,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Somalia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,South Africa,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,South Korea,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
164,South Sudan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Spain,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,4,Oficina Española de Cambio Climáti,2019,2019 NAP,,,
166,Sri Lanka,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Sudan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Suriname,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Sweden,Yes,Planned,No data,,,,,,,,,,,,,,,,,,,,,,,No data,Swedish Meteorological and Hydrological Institute,2020,2020 M&E Proposal,,,Yes
170,Switzerland,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Syria,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Taiwan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Tajikistan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Tanzania,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Thailand,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Timor-Leste,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Togo,Yes,Planned,1,Yes,No data,No data,Yes,No data,Yes,No data,Yes,Yes,No data,Yes,Yes,No data,Yes,No data,No data,No data,No data,No data,No data,No data,No data,5,Multiple,2018,2018 NAP,,,
178,Tonga,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,No data,No data,Yes,No data,Yes,Yes,Yes,No data,Yes,Yes,Yes,1,"Ministry of Meteorology, Energy, Information, Disaster Management, Environment, Climate Change and Communications (MEIDECC)",2019,2019 M&E,Backup link,,
179,Trinidad and Tobago,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Tunisia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Turkey,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Turkmenistan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Tuvalu,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
184,Uganda,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Ukraine,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,United Arab Emirates,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,United Kingdom,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
188,United States,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Uruguay,Yes,Planned,3,Yes,No data,No data,No data,No data,No data,Yes,Yes,No data,No data,Yes,Yes,Yes,Yes,No data,No data,No data,Yes,No data,No data,No data,Yes,No data,Sistema Nacional de Respuesta al Cambio ClimÃ¡ti,2021,2021 NAP,,,
190,Uzbekistan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Vanuatu,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Venezuela,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Vietnam,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Yemen,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Zambia,Yes,Implemented,2,Yes,No data,No data,No,Yes,Yes,No data,Yes,Yes,No data,Yes,No data,No data,Yes,No data,No data,No data,No data,No data,No data,No data,No data,1,"Ministry of Tourism, Environment and Natural Resources ",2010,2010 NCCRS,,,
196,Zimbabwe,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
